plot,treatment,pc_yield_lbs,pc_moisture,notes,to_convert_acre_mutlby
5,pc_n,1.4,10.4,50ft*5ft,174.24
5,pc_n,1.5,10.7,50ft*5ft,174.24
5,pc_n,1.94,10.1,50ft*5ft,174.24
5,pc_n,1.54,10.3,50ft*5ft,174.24
3,pc,0.9,10.6,50ft*5ft,174.24
3,pc,1.36,11.5,50ft*5ft,174.24
3,pc,0.89,9.8,50ft*5ft,174.24
3,pc,1.36,9.9,50ft*5ft,174.24
4,pc_n,3.26,10.7,50ft*5ft,174.24
4,pc_n,3.12,11.3,50ft*5ft,174.24
4,pc_n,2.25,9.9,50ft*5ft,174.24
4,pc_n,1.94,9.8,50ft*5ft,174.24
1,pc,1.76,9.8,50ft*5ft,174.24
1,pc,1.33,9.8,50ft*5ft,174.24
1,pc,2.71,9.7,50ft*5ft,174.24
1,pc,2.71,10.6,50ft*5ft,174.24